-,-,-
-1, -201, 1027
14, -207, 1100
83, -250, 1173
119, -298, 1147
163, -312, 1090
227, -316, 1080
227, -316, 1080
292, -294, 1082
343, -298, 1098
330, -337, 1073
328, -348, 1047
388, -343, 1043
498, -328, 1024
647, -276, 1044
610, -269, 1053
416, -265, 996
279, -222, 914
303, -168, 836
392, -145, 834
272, -108, 792
272, -108, 792
60, -77, 676
39, -69, 554
247, -78, 513
375, -38, 470
190, 5, 322
190, 5, 322
-32, 122, 197
-34, 233, 79
35, 331, 3
35, 331, 3
-117, 378, -39
-409, 428, -147
-547, 499, -250
-636, 579, -290
-807, 657, -272
-1105, 756, -315
-1318, 858, -328
-1335, 909, -311
-1450, 925, -280
-1569, 904, -210
-1597, 923, -145
-1498, 931, -82
-1444, 1003, -18
-1546, 1112, 65
-1546, 1112, 65
-1531, 1153, 163
-1395, 1124, 229
-1212, 1044, 307
-1049, 940, 326
-1085, 886, 285
-1076, 816, 246
-985, 799, 214
-863, 796, 245
-807, 778, 198
