-,-,-
-911, -156, 491
-862, -178, 453
-831, -234, 411
-862, -218, 510
-885, -183, 535
-885, -183, 535
-900, -162, 457
-856, -154, 443
-849, -137, 485
-860, -121, 486
-905, -115, 460
-905, -89, 460
-918, -5, 490
-924, 125, 515
-923, 216, 551
-937, 278, 567
-986, 324, 582
-986, 324, 582
-1038, 373, 559
-996, 383, 539
-916, 355, 570
-904, 312, 620
-914, 260, 647
-886, 209, 643
-820, 110, 591
-783, 7, 550
-783, 7, 550
-792, -50, 490
-725, -122, 494
-640, -282, 499
-648, -470, 505
-680, -667, 532
-594, -771, 500
-507, -812, 409
-469, -912, 320
-483, -1073, 340
-361, -1204, 369
-214, -1276, 267
-220, -1270, 125
-277, -1181, 92
-310, -1106, 176
-287, -978, 275
-277, -824, 202
-277, -824, 202
-180, -741, 154
-146, -687, 203
-313, -604, 520
-528, -572, 842
-638, -527, 976
-656, -349, 1103
-715, -177, 1115
-880, -37, 1101
-985, 135, 1129
-1037, 283, 1082
-1121, 369, 1225
-1166, 440, 1145
-1223, 469, 976
-1190, 470, 927
-1149, 474, 1034
-1209, 531, 1095
-1240, 579, 1020
-1288, 642, 833
-1295, 717, 629
-1244, 733, 577
-1136, 734, 610
-988, 766, 727
-887, 783, 849
-887, 783, 849
-748, 740, 798
-595, 645, 701
-508, 449, 777
-546, 381, 901
-436, 328, 1040
-438, 226, 1102
-486, 27, 1027
-450, -235, 1020
-416, -431, 1040
-336, -509, 1054
-322, -581, 1080
-516, -586, 1242
-410, -791, 918
-460, -853, 955
-453, -793, 937
-389, -673, 999
-389, -673, 999
-334, -638, 938
-323, -642, 863
-333, -625, 807
-404, -531, 782
-427, -424, 780
-446, -350, 780
