-,-,-
-773, -384, -156
-724, -293, -172
-648, -177, -177
-291, -67, -243
86, -103, -222
341, -145, -168
341, -145, -168
547, -177, -133
647, -148, -177
524, -41, -218
226, 86, -195
-71, 239, 15
-242, 265, 109
-504, 302, 59
-953, 486, 80
-953, 486, 80
-1347, 658, 197
-1583, 666, 424
-1527, 617, 559
-1773, 661, 495
-1998, 774, 374
-1998, 761, 316
-1998, 655, 379
-1998, 525, 501
-1998, 427, 395
-1998, 397, 169
-1998, 352, 22
-1998, 370, 96
-1998, 370, 96
-1991, 377, 276
-1896, 361, 340
-1934, 385, 261
-1937, 397, 219
-1791, 436, 343
-1547, 462, 459
-1470, 462, 394
-1508, 397, 267
-1563, 387, 166
-1327, 409, 162
-879, 432, 300
-472, 336, 438
-253, 198, 534
-253, 198, 534
-308, 182, 537
-258, 177, 439
-134, 97, 368
56, -39, 320
335, -269, 281
308, -447, 132
308, -447, 132
54, -470, 35
-171, -457, -21
-167, -426, -50
-273, -508, -2
-359, -527, 32
-510, -518, -44
-707, -420, -31
-,-,-
-890, -288, -204
-855, -298, -213
-879, -282, -210
-835, -272, -199
-787, -291, -153
-735, -295, -152
-711, -291, -182
-688, -267, -159
-632, -237, -178
-606, -232, -191
-554, -236, -186
-520, -222, -194
-528, -192, -169
-565, -151, -135
-578, -142, -147
-634, -154, -142
-693, -153, -129
-710, -114, -160
-701, -74, -166
-736, -55, -155
-832, -40, -61
-854, -27, -53
-849, 5, -107
-816, 37, -166
-788, 69, -211
-935, 139, -102
-1125, 219, -46
-1110, 267, -90
-956, 294, -66
-956, 294, -66
-870, 303, 43
-972, 334, 98
-1196, 414, 67
-1330, 485, 14
-1175, 483, -23
-957, 433, 102
-981, 472, 274
-1175, 548, 275
-1175, 548, 275
-1227, 536, 162
-1254, 451, 119
-1302, 430, 216
-1367, 455, 227
-1586, 556, 118
-1764, 650, -30
-1817, 714, -57
-1747, 736, 41
-1645, 726, 120
-1576, 695, 61
-1523, 668, -18
-1409, 650, 27
-1252, 614, 145
-1140, 549, 166
-1140, 549, 166
-1117, 513, 120
-1153, 510, 63
-1074, 488, 57
-965, 429, 109
-912, 361, 148
-920, 322, 138
-939, 314, 74
-942, 302, 88
-942, 302, 88
-822, 256, 149
-774, 208, 204
-822, 152, 134
-881, 99, -1
-910, 67, -84
-824, 42, -17
-824, 42, -17
-723, 41, 129
-722, 45, 197
-747, 15, 163
-776, -42, 30
-863, -120, -148
-895, -182, -213
-852, -191, -136
-748, -166, -71
-734, -141, -54
-734, -141, -54
-775, -147, -46
-777, -190, -49
-727, -218, 28
-635, -237, 80
-656, -239, 115
-690, -243, 65
-721, -262, 6
-734, -279, 1
-724, -280, 35
-724, -280, 35
-713, -277, 63
-758, -260, 94
-740, -254, 43
-,-,-
360, 190, -126
561, -4, 0
846, -216, -58
1448, -131, -98
1345, -218, -247
1091, 1, -188
1091, 1, -188
515, 428, -303
-62, 955, 141
-634, 1314, 758
-1263, 1498, 1353
-1758, 1723, 1631
-1998, 1786, 1953
-1883, 1551, 1961
-1306, 1238, 1997
-1238, 1118, 1998
-1524, 1105, 1830
-1368, 130, -279
-1609, 1140, 448
-1829, 1270, 805
-1930, 1500, 1945
-1694, 1347, 1574
-1654, 1500, 1454
-1998, 1994, 1169
-1724, 1979, 1613
-563, 1599, 1615
306, 1082, 1284
550, 654, 1055
550, 654, 1055
240, 458, 993
-16, 399, 781
364, 225, 469
947, -21, 558
943, -279, 529
414, -327, 349
414, -327, 349
85, -263, -62
0, -244, -366
42, -284, -347
-3, -315, -89
-226, -357, -113
-515, -354, -261
-,-,-
-1042, -48, 1
-983, -49, -51
-983, -49, -51
-971, -59, -72
-936, -85, -1
-924, -85, -3
-1007, -46, -95
-990, -28, -1
-892, -14, 14
-757, -19, -12
-757, -19, -12
-580, 17, -57
-315, 54, -163
67, 12, -214
671, -46, -357
1483, -143, -433
1981, -238, -565
1997, -136, -291
1914, 109, 266
881, 943, -27
881, 943, -27
-794, 1834, 301
-1947, 1997, 1913
-1998, 1997, 1998
-1998, 1676, 1998
-1998, 1401, 1998
-1893, 1317, 1998
-1741, 1268, 1998
-1724, 1209, 1542
-1879, 1346, 1466
-1998, 1651, 1579
-1998, 1921, 1763
-1998, 1934, 1509
-1746, 1770, 1316
-1008, 1565, 1483
-587, 1509, 1451
26, 1268, 1402
982, 700, 1049
1235, -1, 313
1143, -307, 44
1143, -307, 44
608, -361, 177
417, -451, 51
419, -538, -22
272, -498, -122
0, -409, -369
-375, -278, -3
-482, -299, 159
-532, -366, 23
-532, -366, 23
-516, -364, -58
-576, -273, -96
-837, -202, 92
-967, -199, 212
-934, -255, 70
-,-,-
-741, -100, 25
-662, -60, 58
-632, -41, -49
-825, -130, -173
-767, -154, -234
-794, -131, -97
-659, -95, 78
-561, -63, 96
-561, -63, 96
-406, -55, -15
-475, -113, -81
-650, -94, 4
-736, -14, 139
-784, 62, 187
-792, 146, 64
-792, 146, 64
-777, 186, -11
-804, 201, 34
-770, 240, 164
-755, 311, 284
-797, 400, 230
-887, 427, 303
-887, 427, 303
-939, 417, 389
-823, 381, 471
-693, 396, 465
-741, 543, 356
-948, 675, 527
-1086, 717, 790
-1030, 619, 733
-853, 582, 579
-942, 699, 580
-942, 699, 580
-1090, 852, 695
-1161, 862, 681
-1063, 733, 679
-903, 653, 612
-876, 686, 613
-930, 727, 649
-896, 704, 674
-770, 624, 701
-701, 583, 662
-784, 647, 567
-784, 647, 567
-957, 734, 477
-1003, 769, 494
-933, 776, 573
-839, 805, 577
-877, 887, 605
-1028, 965, 657
-1178, 1006, 687
-1169, 1039, 624
-1149, 1085, 678
-1149, 1090, 749
-1032, 1003, 697
-887, 862, 701
-733, 729, 632
-648, 647, 555
-648, 647, 555
-732, 652, 542
-770, 656, 640
-699, 592, 715
-585, 477, 698
-566, 407, 655
-736, 453, 566
-828, 489, 608
