-,-,-
12, -22, 1028
11, -23, 1008
11, -23, 1008
13, -30, 1015
8, -12, 1024
10, -22, 1019
11, -22, 1019
12, -23, 1019
12, -23, 1019
9, -28, 1019
14, -15, 1019
10, -20, 1019
10, -21, 1019
12, -22, 1019
12, -22, 1019
11, -23, 1019
11, -21, 1019
11, -20, 1019
8, -19, 1020
8, -19, 1020
28, 40, 1016
33, 116, 1023
36, 141, 1021
21, 166, 1017
6, 144, 1018
6, 144, 1018
12, 206, 1041
22, 244, 1002
25, 292, 1009
20, 298, 1037
20, 298, 1037
17, 283, 981
29, 254, 1033
44, 239, 952
128, 235, 989
128, 235, 989
96, 214, 1042
-23, 231, 878
-68, 200, 1007
0, 156, 901
65, 91, 987
65, 91, 987
68, 74, 1012
16, 84, 1006
22, 48, 1017
22, 48, 1017
-8, 76, 1011
-59, 59, 963
-29, 48, 1004
-1, 19, 1001
-1, 19, 1001
47, 42, 998
26, 27, 1009
-28, -10, 1005
-28, -10, 1005
-46, 10, 1001
13, 9, 1011
49, 7, 1010
44, -34, 920
44, -34, 920
0, -54, 992
76, -76, 1026
116, -63, 998
84, -17, 1012
84, -17, 1012
71, -71, 1019
88, -163, 946
89, -225, 1023
90, -183, 980
47, -105, 976
47, -105, 976
-25, -144, 1017
-80, -305, 994
-11, -368, 981
-469, -878, 1014
259, -667, 952
-247, -527, 1023
-279, -572, 1005
53, -278, 1015
317, -317, 1014
346, -144, 1019
68, -172, 1021
11, -11, 1013
11, -11, 1013
-20, 58, 1022
-20, 88, 1017
9, -9, 1019
26, 0, 1020
26, 0, 1020
-3, -24, 1016
7, -18, 1018
12, -14, 1017
11, -12, 1018
11, -12, 1018
29, -4, 1021
11, -11, 1015
0, -18, 1020
2, -17, 1019
2, -17, 1019
11, -13, 1018
10, -12, 1019
18, 4, 1017
3, -32, 1020
3, -32, 1020
10, -14, 1019
11, -12, 1019
-,-,-
12, -22, 1018
11, -25, 1017
10, -20, 1018
11, -21, 1017
11, -21, 1017
12, -20, 1018
12, -20, 1018
14, -19, 1017
39, 141, 1023
43, 85, 1014
43, 85, 1014
35, 111, 1022
26, 122, 1013
2, 138, 1026
-8, 194, 1028
-8, 194, 1028
8, 209, 992
66, 171, 1045
73, 164, 996
37, 185, 1009
37, 185, 1009
14, 183, 1031
52, 161, 974
67, 131, 1030
77, 136, 1027
27, 158, 955
27, 158, 955
-43, 161, 939
-33, 171, 966
9, 102, 977
78, 92, 999
78, 92, 999
34, 67, 1019
-28, 84, 975
-22, 117, 1001
-22, 117, 1001
-8, 89, 973
50, 29, 977
50, 43, 1010
20, 27, 1028
20, 27, 1028
-6, 4, 1021
-57, 29, 970
-54, 0, 986
-54, 0, 986
58, -54, 988
109, -47, 973
55, -24, 1005
55, -24, 1005
-3, 37, 1002
-30, 42, 992
12, -17, 993
71, -52, 1005
71, -52, 1005
68, -44, 999
-22, -32, 1020
-25, -95, 1006
62, -163, 981
148, -286, 976
89, -330, 969
89, -330, 969
-31, -325, 990
-92, -368, 1039
-31, -361, 998
50, -465, 1000
107, -447, 1007
44, -417, 1011
-9, -338, 1009
-32, -276, 1017
-28, -240, 1013
-28, -240, 1013
-1, -133, 1016
11, -14, 1018
12, -14, 1016
14, -16, 1017
14, -15, 1018
12, -15, 1018
12, -15, 1018
12, -14, 1019
13, -14, 1018
13, -15, 1018
13, -17, 1018
12, -17, 1018
12, -17, 1018
12, -16, 1018
12, -13, 1018
12, -15, 1019
-,-,-
12, -20, 1017
3, 7, 996
50, 59, 1032
58, 154, 1020
58, 154, 1020
58, 192, 1017
-10, 188, 1019
71, 245, 1020
31, 264, 1039
20, 256, 1013
20, 256, 1013
25, 267, 986
-3, 215, 1031
-9, 170, 1015
-3, 147, 1014
12, 105, 1022
12, 105, 1022
5, 107, 1013
-44, 127, 998
-73, 91, 937
8, 62, 986
8, 62, 986
65, 64, 997
67, 57, 985
67, 57, 985
17, 59, 998
-18, 79, 1007
28, 47, 1006
28, 47, 1006
89, 8, 977
105, 23, 1003
29, 33, 1020
29, 33, 1020
-3, 40, 1014
58, 0, 1013
74, -18, 966
42, -25, 1016
42, -25, 1016
18, 3, 978
-32, 19, 1013
-12, -2, 995
-12, -2, 995
45, -17, 976
29, -26, 1018
21, -49, 973
3, -68, 980
3, -68, 980
19, -55, 1012
41, -33, 995
7, -47, 1031
7, -47, 1031
-25, -90, 999
-16, -150, 1006
28, -136, 1013
88, -103, 983
74, -73, 1008
-13, -116, 1042
-39, -163, 976
-39, -163, 976
7, -140, 998
58, -123, 1005
48, -162, 1028
14, -248, 1003
-3, -303, 1022
-39, -285, 1030
-50, -266, 1021
-25, -283, 970
-25, -283, 970
40, -301, 1021
68, -305, 1034
73, -257, 1008
13, -244, 1012
-22, -209, 1013
14, -25, 1015
14, -11, 1016
14, -11, 1016
